age1,gendername,Pro Death Penalty,Pro Wealth Redistribution,Unweighted,Effective,Weighted
18-25,female,-16.491207868490807,36.958339474477214,1288,1000.7512420049231,1777.205469036565
18-25,male,-1.7706986009341132,38.45950233782534,868,704.59480114781,1811.3170332969837
26-35,female,-2.2298778144844857,26.890200047304504,1557,1129.8983651479678,2027.8290178811442
26-35,male,6.053551536966936,27.417675299657347,976,692.3515668938834,1668.6271118003488
36-45,female,13.155112404048822,20.552855444342015,2523,1785.4922110448906,3195.0403940322244
36-45,male,19.743190371912657,20.65675263450723,1887,1396.5777630893356,3164.552979396813
46-55,female,15.578077673176047,14.690982128781071,2769,1983.9162537551335,2883.4434259499544
46-55,male,19.978613015383026,12.186403690175498,2387,1786.0242428400184,3090.6271950542305
56-65,female,18.4765497541206,4.565427465516447,3029,2257.510894112548,2619.370143522354
56-65,male,26.257812248346728,5.0418386585776815,2579,1975.6158294960926,2486.062578690683
66+,female,17.074039938731783,-9.526433812413714,6017,4709.713443480133,3624.7067204713885
66+,male,35.77725837747547,-9.802163178651641,5512,4352.77786202604,3034.6686690261313
