party_code,Pro Death Penalty,Pro Wealth Redistribution,Unweighted,Effective,Weighted,party_name
CON,27.000230153861978,-40.24681714501495,4274,2874.9921534489536,4076.701739940149,Conservative
DNK,15.51857423622311,11.844934002756993,5002,3250.1122477476288,5101.66239257851,Don't know
GRN,-33.379373707064666,68.71350761245367,3646,2433.8319988671306,4087.0660001596334,Green
LAB,-22.7689937591067,48.3785605786515,4860,2986.3249465275853,4154.853075792342,Labour
LDM,-20.0489598522576,28.856770421528694,2927,1908.3729732529328,2569.077096616621,Liberal Democrat
OTH,50.34920047295907,-17.9622047090623,1197,797.6824843027487,1275.992947878417,Other parties
PLC,-22.60497225707175,54.416672444896896,314,189.7039094415205,227.24059806519526,Plaid Cymru
RFM,68.55047229202216,-26.07539085285795,6012,4160.451529577074,5648.492173002752,Reform UK
SNP,-9.688571830000697,54.80421451119754,858,449.7722684139148,653.9736974761546,SNP
WNV,39.64469734570821,20.565776591495283,1668,1149.6415295385689,2702.5795031270713,Would not vote
