colour,Pro Death Penalty,Pro Wealth Redistribution,Unweighted,Effective,Weighted,label
CON,27.000230153861978,-40.24681714501495,4274,2874.9921534489536,4076.701739940149,Conservative
LAB,-22.7689937591067,48.3785605786515,4860,2986.3249465275853,4154.853075792342,Labour
PLC,-22.60497225707175,54.416672444896896,314,189.7039094415205,227.24059806519526,Plaid Cymru
SNP,-9.688571830000697,54.80421451119754,858,449.7722684139148,653.9736974761546,SNP
LDM,-20.0489598522576,28.856770421528694,2927,1908.3729732529328,2569.077096616621,Liberal Democrat
RFM,68.55047229202216,-26.07539085285795,6012,4160.451529577074,5648.492173002752,Reform UK
GRN,-33.379373707064666,68.71350761245367,3646,2433.8319988671306,4087.0660001596334,Green
Anglican,32.403460856014064,-13.221718749247598,7502,5327.73118119744,6194.9140456945315,Anglican
Catholic,20.86518242498198,11.707923724181379,2197,1343.2297496806918,2120.5460544047614,Catholic
No religion,7.581590550824922,21.504304858897687,16374,10733.11575369862,17227.53636973872,No religion
Other Protestant,13.800036087399956,2.319870155130509,2399,1497.5479288954625,2115.2181376545664,Other Protestant
Other religions,20.863061258893538,24.532112439834318,1774,1030.6328363613454,2166.3974220757696,Other religions
