rel1,Pro Death Penalty,Pro Wealth Redistribution,Unweighted,Effective,Weighted
Anglican,32.403460856014064,-13.221718749247598,7502,5327.73118119744,6194.9140456945315
Baptist,-3.1295258030041113,0.4461698631717967,301,193.38005582756904,268.7267945068594
Buddhist,8.491077023977796,44.821989350411776,144,69.97504111647822,146.88770352025585
Catholic,20.86518242498198,11.707923724181379,2197,1343.2297496806918,2120.5460544047614
Evangelical,-21.577289136367533,-1.5150232478596488,345,245.662234756189,325.1502174802777
Hindu,24.1058102364548,-4.274516227658967,260,161.16215138645026,329.7874002538665
Jewish,9.05978209512741,-1.7068035866883255,206,122.05937131884495,185.54866821861876
Methodist,14.885026029473316,-4.432288872164245,549,389.9936656121248,414.6847943643683
Muslim,35.20288579556609,40.26364553859556,456,277.7410103127138,718.9762289782512
No religion,7.581590550824922,21.504304858897687,16374,10733.11575369862,17227.53636973872
Orthodox,40.26221145302086,11.234769134233828,154,103.56909980057785,194.87823340457155
Other religions,7.635780024809799,27.93581338501468,628,393.72587132388696,670.2035997684349
Pentecostal,18.16305809377517,22.73316421561952,220,133.83071940659914,311.5323096714215
Presbyterian,36.71485047142501,-5.0253246939972716,704,465.8286632159752,514.5074364636831
Sikh,33.845809705858,5.370689110010055,80,46.15138209063026,114.9938213363423
United Reformed Church,-27.932439593802656,1.890188799432468,103,73.95806048449094,67.86288648312296
