Short topic label,2024 Con,2024 Lab,2024 Lib Dem,2024 Reform,2024 Green,2 or 3 way Q
Wealth redistribution,21.80%,2.82%,3.99%,19.00%,0.00%,Topics where the question had 2-way answer options (e.g. should / should not)
NHS funding structure,4.28%,1.72%,2.06%,7.58%,0.94%,Topics where the question had 2-way answer options (e.g. should / should not)
Immigration levels*,1.67%,6.63%,6.58%,0.00%,8.97%,"Topics where the question had 3-way answer options (e.g. too high, too low, about right)"
Israel-Palestine conflict*,22.29%,8.89%,8.98%,36.34%,4.31%,"Topics where the question had 3-way answer options (e.g. too high, too low, about right)"
Bregret,33.03%,6.44%,5.66%,47.61%,3.51%,Topics where the question had 2-way answer options (e.g. should / should not)
Criminal sentencing*,2.58%,6.59%,5.46%,1.44%,6.62%,"Topics where the question had 3-way answer options (e.g. too high, too low, about right)"
The monarchy,3.63%,8.55%,7.20%,8.31%,12.64%,Topics where the question had 2-way answer options (e.g. should / should not)
Benefit payments*,12.95%,13.91%,8.79%,15.50%,17.57%,"Topics where the question had 3-way answer options (e.g. too high, too low, about right)"
2024 England riots,33.26%,14.82%,15.39%,54.42%,7.59%,Topics where the question had 2-way answer options (e.g. should / should not)
Same sex marriage,7.15%,3.64%,0.00%,11.70%,1.21%,Topics where the question had 2-way answer options (e.g. should / should not)
Abortion,0.65%,1.58%,1.01%,1.55%,0.00%,Topics where the question had 2-way answer options (e.g. should / should not)
Utilities nationalisation,8.65%,1.71%,0.91%,6.63%,1.91%,Topics where the question had 2-way answer options (e.g. should / should not)
Nuclear weapons,6.36%,10.11%,8.45%,4.58%,7.09%,Topics where the question had 2-way answer options (e.g. should / should not)
Transgender status,33.34%,14.47%,11.59%,49.45%,6.02%,Topics where the question had 2-way answer options (e.g. should / should not)
Covid 19 lockdowns,14.33%,10.33%,13.03%,39.11%,10.80%,Topics where the question had 2-way answer options (e.g. should / should not)
Brownfield housebuilding,6.24%,8.43%,4.07%,5.61%,3.05%,Topics where the question had 2-way answer options (e.g. should / should not)
Opinion of Donald Trump,13.24%,5.54%,2.59%,29.67%,0.53%,Topics where the question had 2-way answer options (e.g. should / should not)
Ukraine war,22.38%,16.74%,12.48%,25.81%,18.34%,Topics where the question had 2-way answer options (e.g. should / should not)
Purpose of education,29.81%,19.89%,23.23%,31.62%,12.11%,Topics where the question had 2-way answer options (e.g. should / should not)
Business regulation*,33.07%,18.41%,24.30%,42.98%,17.69%,"Topics where the question had 3-way answer options (e.g. too high, too low, about right)"
Tax on the rich*,22.68%,6.69%,5.03%,24.42%,0.00%,"Topics where the question had 3-way answer options (e.g. too high, too low, about right)"
State pension*,11.48%,12.28%,9.57%,6.27%,13.14%,"Topics where the question had 3-way answer options (e.g. too high, too low, about right)"
Employment rights*,32.39%,24.30%,25.22%,36.35%,21.74%,"Topics where the question had 3-way answer options (e.g. too high, too low, about right)"
Death penalty,18.03%,30.51%,31.96%,4.77%,35.55%,Topics where the question had 2-way answer options (e.g. should / should not)
University funding,7.02%,13.15%,11.81%,7.09%,10.99%,Topics where the question had 2-way answer options (e.g. should / should not)
